HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.premise,Input.hypothesis,Input.cid,Input.hid,Answer.correct,Answer.incorrect,Answer.maybe,Answer.problems,Approve,Reject
304QEQWKZQMB5RWMY6K0HLAYGVOO0L,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:23 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:23 PDT 2020,,,3A9AA95ATXOV7ISI0E8SB07033DP51,A1E77HZO63E334,Approved,Fri Apr 17 14:23:55 PDT 2020,Fri Apr 17 15:33:52 PDT 2020,Sat Apr 18 15:33:52 PDT 2020,Sat Apr 18 15:34:44 PDT 2020,,,4197,100% (61/61),100% (61/61),100% (61/61),"One Israeli was killed and two others, including a six-year-old girl, were seriously wounded in a shooting attack Monday evening near the West Bank city of Ramallah, Israel Radio reported.","One Israeli was killed and several others were moderately wounded in a shooting attack on Friday evening in the divided West Bank city of Hebron, Israeli Radio reported.",XIN_ENG_20030505.0249_0_0,XIN_ENG_20030117.0265_0_0,A 6 year old girl was injured in a shooting in Ramallah.,Ramallah is in Iran.,Ramallah is a dangerous city to live in as a Jew.,{},,
304QEQWKZQMB5RWMY6K0HLAYGVP0OY,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:22 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:22 PDT 2020,,,31QNSG6A5SVPOU7K2QLENYQ652U786,A3EUGO4VR2N4G1,Approved,Fri Apr 17 22:20:47 PDT 2020,Sat Apr 18 02:37:59 PDT 2020,Sun Apr 19 02:37:59 PDT 2020,Sun Apr 19 02:38:44 PDT 2020,,,15432,100% (97/97),100% (97/97),100% (46/46),"The panel's report comes as cities across the country are grappling with ways to pay for health care for the uninsured, as hospitals are being buffeted on one side by managed care companies demanding deep discounts and on the other by cuts in government reimbursement for Medicaid, the program for the poor, and Medicare, the program for the elderly and disabled.","Advocates and analysts are most concerned that Kaine will target Medicaid, the federal-state program for the poor, elderly and disabled.",NYT_ENG_19960501.0814_8_0,LTW_ENG_20081026.0012_8_0,Hospitals are getting squeezed by healthcare costs.,The government has been increasing spending on Medicare and Medicaid in recent years.,Healthcare costs continue to rise and one reason is because of the obesity epidemic.,{},,
306996CF6XMRTMSVQKJEP6T9EOC1BY,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:32 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:32 PDT 2020,,,3EKVH9QMEZ6UJO65DMFZDZNZ5CRD2M,A3EUGO4VR2N4G1,Approved,Fri Apr 17 17:10:06 PDT 2020,Fri Apr 17 19:19:39 PDT 2020,Sat Apr 18 19:19:39 PDT 2020,Sat Apr 18 19:19:44 PDT 2020,,,7773,100% (97/97),100% (97/97),100% (46/46),"Congressman Apolinario Lozada from Negros Occidental province who is the chairman of Congress foreign relations committee, said the Department of Justice has organized a team of lawyers to look into the cases of overseas Filipino Workers (OFWs) jailed in various detention centers abroad, the Philippine Daily Inquirer online news reported.","The office said in a news release that Wilhelm Soriano, chief of the Overseas Workers Welfare Administration, told President Fidel Ramos that the 2,321 were part of the 2,905 undocumented, overstaying and runaway Filipino workers who applied for amnesty from the UAE.",XIN_ENG_20020524.0172_1_0,XIN_ENG_19961021.0137_1_0,The government is investigating Filipino Workers who were jailed overseas.,The government ignored the Filipino Workers jailed overseas because of the trade agreements they had made with other countries.,The government was planning on sending in the military to rescue the Filipino workers.,{},,
306W7JMRYZ094MCGP5ST4GGHSUIB8S,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:36 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:36 PDT 2020,,,37W3JXSD67AJTFZ3N2RKERDPR6IYWL,AYJGQBBK6KXZ7,Approved,Fri Apr 17 11:06:59 PDT 2020,Fri Apr 17 13:48:55 PDT 2020,Sat Apr 18 13:48:55 PDT 2020,Sat Apr 18 13:49:44 PDT 2020,,,9716,100% (50/50),100% (50/50),100% (50/50),"In February, the first such center has been opened in Liberia.","In February, the same controversy reemerged.",XIN_ENG_20071106.0270_6_1,LTW_ENG_20080423.0072_6_0,The first center of its kind opened its doors in Liberia in February.,"As of February, all such centers are closed in Liberia.","The first center opened this February in Liberia, to great fan fare.",{},,
307FVKVSYSHLJ9MO0LQ0I2EG7IV47S,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:36 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:36 PDT 2020,,,34HJIJKLP6YQGJLE8LYHC0Q4PWX4VC,A1E77HZO63E334,Approved,Fri Apr 17 13:13:57 PDT 2020,Fri Apr 17 13:17:12 PDT 2020,Sat Apr 18 13:17:12 PDT 2020,Sat Apr 18 13:17:44 PDT 2020,,,195,100% (61/61),100% (61/61),100% (61/61),"Basically, the White House has a communication problem, she told a group that included advice columnist Ann Landers and gossip or feature section writers from The Washington Post, USA Today and the New York Post.","The White House has hired online operative Jesse Lee as the new online programs director, reports Greg Sargent, a blogger with Washington Post Co. partner WhoRunsGov.com.",APW_ENG_19950110.0235_3_0,LTW_ENG_20090212.0023_0_0,The source believes the White House has a communication issue.,The source believed the White House was clear in communicating.,Ann Landers works for the USA Today.,{},,
307L9TDWJZUP4YV7GE264U80TX43NH,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:30 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:30 PDT 2020,,,38F71OA9GUYHOCOUEAT9G84INSCMFH,A2M1CVZZJAN4T4,Approved,Fri Apr 17 08:59:45 PDT 2020,Fri Apr 17 10:11:08 PDT 2020,Sat Apr 18 10:11:08 PDT 2020,Sat Apr 18 10:11:44 PDT 2020,,,4283,100% (351/351),100% (56/56),100% (56/56),No financial details for the transactions were given.,No transactions were recorded for other months.,AFP_ENG_20071205.0290_7_0,CNA_ENG_20040416.0025_10_0,Some transactions were made.,The people involved were completely open about the financial details for the transactions.,The financial details for the transactions will be disclosed next week.,{},,
308KJXFUJS8NJWZCMP3S01SYOPHTA3,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:23 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:23 PDT 2020,,,3EFVCAY5L4BI8P8M3ZABQOVFWU4J8T,A2NKW6JBEM4LL4,Approved,Fri Apr 17 09:41:24 PDT 2020,Fri Apr 17 12:29:07 PDT 2020,Sat Apr 18 12:29:07 PDT 2020,Sat Apr 18 12:29:44 PDT 2020,,,10063,100% (1/1),100% (1/1),100% (1/1),"According to officials from the O.P.C. International Exhibition Co., which arranged for the participation of the Taiwan suppliers, while this is the 16th year that Taiwan is taking part in the event, the floor area occupied by Taiwan exhibitors has also expanded from just 50 square meters in the first year to 1,400 square meters this year.","Originally, participants of the competition were limited to EU country, but Taiwan last year became the first country from Asia to compete in the event.",CNA_ENG_20060408.0014_2_0,CNA_ENG_20091103.0011_3_1,"The floor area occupied by Taiwan suppliers this year is 1,400 square meters.","The floor area occupied by Taiwan suppliers in their first year of exhibiting was 2,000 square meters.","The floor area occupied by Taiwan suppliers in their seventh year of exhibiting was 1,000 square meters.",My actual working time was 17 minutes.,,
309D674SH0NBGP2T6H8Y62C0IL3BCY,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:37 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:37 PDT 2020,,,3907X2AHF1738L9VIV6UDT4OJVC2P7,A1E77HZO63E334,Approved,Fri Apr 17 14:35:29 PDT 2020,Fri Apr 17 15:39:47 PDT 2020,Sat Apr 18 15:39:47 PDT 2020,Sat Apr 18 15:40:44 PDT 2020,,,3858,100% (61/61),100% (61/61),100% (61/61),"""It is not by condemning benefits gained in the past that we can create the conditions for increased solidarity"", he said in a statement issued from Bordeaux, where he is mayor.","""It is not by condemning benefits gained in the past that we can create the conditions for increased solidarity,"" he said in a statement issued from Bordeaux, where he is mayor.",AFP_ENG_19950825.0333_5_0,AFP_ENG_19950825.0392_8_0,The mayor wants to increase solidarity.,Bordeaux's mayor is silent on the issue of solidarity.,Bordeaux has class relation issues.,{},,
30F94FBDNSMS2644S33OVCC4672TBY,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:23 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:23 PDT 2020,,,3FTYUGLFSVNMILPSV5HXB6QBPMV5DS,A3EUGO4VR2N4G1,Approved,Fri Apr 17 14:01:18 PDT 2020,Fri Apr 17 18:52:45 PDT 2020,Sat Apr 18 18:52:45 PDT 2020,Sat Apr 18 18:53:44 PDT 2020,,,17487,100% (97/97),100% (97/97),100% (46/46),Tony Pulis's side took the lead in the 30th minute when Liam Lawrence stroked home a penalty after Laursen fouled Rory Delap.,Reading took the lead in the 17th minute when Jamie Carragher fouled Brynjar Gunnarsson.,AFP_ENG_20080823.0133_15_0,AFP_ENG_20071208.0084_16_0,Tony Pulis's side was leading the game.,Tony Pulis's side was held scoreless the entire game.,Tony Pulis's side was trailing early in the game.,{},,
30IRMPJWD0LGFUV6URBMU0UC5GERK3,3XA69K8C5YP36GZPE3KQW0ZI5UGW1H,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$0.75,Fri Apr 17 08:59:33 PDT 2020,1,BatchId:3998337;OriginalHitTemplateId:;,18000,86400,Fri Apr 24 08:59:33 PDT 2020,,,3BF51CHDTWC4ZU8TKVUBLW9I04OH0Z,A2M1CVZZJAN4T4,Approved,Fri Apr 17 08:59:35 PDT 2020,Fri Apr 17 09:37:10 PDT 2020,Sat Apr 18 09:37:10 PDT 2020,Sat Apr 18 09:37:44 PDT 2020,,,2255,100% (351/351),100% (56/56),100% (56/56),"""And, any important economic initiative should be reviewed by the think-tank before concrete action is taken.""",Reforms must be backed by concrete action that is workable in real life.,XIN_ENG_20010606.0344_3_1,CNA_ENG_20100329.0020_4_2,The think-tank is in charge of reviewing any important economic initiative before concrete action is taken.,The think-tank is never consulted before actions regarding important economic initiatives are taken.,The think-tank usually reviews important economic initiatives less than once a week.,{},,
