HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.id,Input.premise,Input.cid,Answer.correct,Answer.incorrect,Answer.maybe,Answer.problems,Approve,Reject
301KG0KX9DN89KDD9GTOG06C21I2H8,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:11 PDT 2020,1,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:11 PDT 2020,,,3DQQ64TANHNPK172WFV110KDTO6WPW,A2VRDE2FHCBMF8,Approved,Sat Jun 13 17:26:40 PDT 2020,Sat Jun 13 17:29:10 PDT 2020,Tue Jun 16 17:29:10 PDT 2020,Mon Jun 15 10:00:20 PDT 2020,,,150,100% (496/496),100% (367/367),100% (78/78),wiki_430822,"The Orchidaceae are a diverse and widespread family of flowering plants, with blooms that are often colourful and fragrant, commonly known as the orchid family.",AC_wiki38_22719_1_0,The Orchidaceae belong to the vegetal species.,The Orchidaceae are beautiful and rare.,The Orchidaceae are appreciated mostly for their colors.,{},,
301KG0KX9DN89KDD9GTOG06C21IH2N,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:09 PDT 2020,1,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:09 PDT 2020,,,3E337GFOLAATKU5P1VERB8TUZJYGN0,A18T7E73TNGOKP,Approved,Sat Jun 13 13:11:18 PDT 2020,Sat Jun 13 13:54:30 PDT 2020,Tue Jun 16 13:54:30 PDT 2020,Mon Jun 15 10:00:50 PDT 2020,,,2592,100% (412/412),100% (348/348),100% (58/58),wiki_756074,Samira Makhmalbaf is considered to be one of the most influential directors as part of the Iranian New Wave.,AS_wiki87_416978_1_3,Samira Makhmalbaf is Iranian new wave.,Samira Makhmalbaf worked in Bosnia.,Samira Makhmalbaf was a part of the old wave.,{},,
302OLP89D096XFX10382BRSU1X5ACE,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:19 PDT 2020,2,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:19 PDT 2020,,,3K2755HG5T5EKIIH1HU6XIHOK1AFDY,A2VRDE2FHCBMF8,Approved,Sat Jun 13 14:00:30 PDT 2020,Sat Jun 13 15:52:56 PDT 2020,Tue Jun 16 15:52:56 PDT 2020,Mon Jun 15 10:01:02 PDT 2020,,,6746,100% (496/496),100% (367/367),100% (78/78),wiki_539779,Visa requirements for Peruvian citizens are administrative entry restrictions by the authorities of other states placed on citizens of Peru.,EF_wiki66_25985635_1_0,The Visa requirements in Perù are dependent on the restrictions on the entries put by other states,To get a Visa in Perù is enough to request it.,It's possible to get a Visa in Perù within two weeks from the request.,{},,
302OLP89D096XFX10382BRSU1X5CAG,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:17 PDT 2020,2,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:17 PDT 2020,,,3M81GAB8A1LIWAA611EUERX2OI6QBV,A1E77HZO63E334,Approved,Sat Jun 13 13:54:16 PDT 2020,Sat Jun 13 14:54:24 PDT 2020,Tue Jun 16 14:54:24 PDT 2020,Mon Jun 15 10:00:28 PDT 2020,,,3608,100% (212/212),100% (151/151),100% (79/79),wiki_731680,Before entering the Senate he served in the New Jersey General Assembly from 1968 to 1990 and the Franklin Borough Council from 1963 to 1965.,BO_wiki64_2090478_1_2,He served on the Frankin Borough Council.,He was on the Franklin Borough Council after he was in the New Jersey General Assembly.,He was elected to Senate for 2 terms.,{},,
306996CF6XMRTMSVQKJEP6T9FIZ1BA,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:10:50 PDT 2020,1,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:10:50 PDT 2020,,,33CUSNVVNOETO8C3CVDK1YM1M5M88O,A16QZSBYXE5VY8,Approved,Sat Jun 13 18:11:17 PDT 2020,Sat Jun 13 18:21:32 PDT 2020,Tue Jun 16 18:21:32 PDT 2020,Mon Jun 15 10:00:39 PDT 2020,,,615,100% (55/55),100% (36/36),100% (36/36),wiki_541824,It was released as a digital download on 2 April 2010.,ED_wiki34_24913397_1_2,On 2 April 2010 a digital download was released.,On 2 April 2010 a digital download was not released.,On 2 April 2010 a digital download was released and got lots of attention.,{},,
307FVKVSYSHLJ9MO0LQ0I2EG8CI474,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:07 PDT 2020,1,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:07 PDT 2020,,,3Y54SXRO1MNAKPB4IWPKOM0DX90TUF,A1MJVTR0PCKBWW,Approved,Sat Jun 13 13:14:11 PDT 2020,Sat Jun 13 13:29:08 PDT 2020,Tue Jun 16 13:29:08 PDT 2020,Mon Jun 15 10:00:12 PDT 2020,,,897,100% (161/161),100% (161/161),100% (88/88),wiki_605843,"In their first and only season under head coach Henry Van Hoevenberg, the Queensmen compiled a 3–7 record and were outscored by their opponents, 188 to 42.",FX_wiki07_50810521_1_1,Henry Van Hoevenberg gave a poor performance to his team.,He has a winning record there.,Henry enjoyed his time there.,{},,
307FVKVSYSHLJ9MO0LQ0I2EG8CI747,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:11 PDT 2020,1,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:11 PDT 2020,,,3SPJ0334225XNVZ4G385P1JHVX3YJ0,A1THCNYQ6HMSBZ,Approved,Sat Jun 13 17:50:42 PDT 2020,Sat Jun 13 18:01:27 PDT 2020,Tue Jun 16 18:01:27 PDT 2020,Mon Jun 15 10:00:52 PDT 2020,,,645,100% (59/59),100% (46/46),100% (46/46),wiki_775693,"Gadeer Kamal-Mreeh (, , , born 21 June 1984) is a Druze-Israeli politician and journalist.",GK_wiki98_60457035_1_0,Gadeer Kamal-Mreeh is a politician and journalist of druze and israeli ancestry.,Gadeer Kamal-Mreeh is a canadian doctor.,Gadeer Kamal-Mreeh is a left wing politician and award winning journalist.,{},,
307L9TDWJZUP4YV7GE264U80URR3NT,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:00 PDT 2020,1,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:00 PDT 2020,,,33SA9F9TRYWLNAICN1FQ7OL9FFOEW9,A2XK59FYAFO9EX,Approved,Sat Jun 13 13:13:37 PDT 2020,Sat Jun 13 13:37:08 PDT 2020,Tue Jun 16 13:37:08 PDT 2020,Mon Jun 15 10:00:05 PDT 2020,,,1411,100% (70/70),100% (68/68),100% (66/66),wiki_13430,"Published anonymously in 1814 as Scott's first venture into prose fiction, it is often regarded as one of the first historical novels in the Western tradition.",AK_wiki30_152925_1_2,Scotts first venture into prose fiction came about in 1814.,Not many held Scotts work in high esteem,Scotts first venture into prose fiction was one of his finest in a long list of novels that followed,{},,
3087LXLJ6NIHZEJTZ31AUR1KPOLF03,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:18 PDT 2020,1,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:18 PDT 2020,,,3OS4RQUCRAHL5LKXNL302STOHFLBF8,A2O5OJXCUFQ3FV,Approved,Sat Jun 13 18:12:53 PDT 2020,Sat Jun 13 18:23:27 PDT 2020,Tue Jun 16 18:23:27 PDT 2020,Mon Jun 15 10:00:27 PDT 2020,,,634,100% (81/81),100% (56/56),100% (56/56),wiki_442462,"It hosts theatre and dance performances, cinema screenings, live music (including touring bands, solo artists and classical music), comedy from well-known performers to circuit comedians.",FS_wiki64_47804442_1_2,All types of comedians come to this theatre.,This is a very exclusive theatre.,This theatre is known all around the world.,{},,
309D674SH0NBGP2T6H8Y62C0JFQCBB,3RCYW2YZZTX89H7A5RLZHEBCN0VEEK,Write about a situation given only a one sentence description,"Given a description, write one-sentence answers to three short questions about it","sentences, writing",$1.00,Sat Jun 13 13:11:17 PDT 2020,1,BatchId:4078429;OriginalHitTemplateId:;,18000,259200,Sat Jun 20 13:11:17 PDT 2020,,,33FBRBDW6P1V0B2GT7TP3KIKCW7C8Y,A1Q0YPLNK273OB,Approved,Sat Jun 13 18:12:21 PDT 2020,Sat Jun 13 18:21:23 PDT 2020,Tue Jun 16 18:21:23 PDT 2020,Mon Jun 15 10:01:01 PDT 2020,,,542,100% (31/31),100% (31/31),100% (31/31),wiki_64367,"Little Cataraqui Creek Conservation Area is a conservation area located north of the city of Kingston, Ontario, Canada, and is managed by the Cataraqui Region Conservation Authority.",CV_wiki92_9715235_1_0,The Cataraqui Region Conservation Authority manages the Little Cataraqui Creek Conservation Area.,"Located in USA, the Little Cataraqui Creek Conservation Area is not managed by any authority.",The Cataraqui Region Conservation Authority manages a conservation area in Canada.,{},,
