,Worker,hypoID,hypothesis_x,mask-typ,premID,premise_x,response,Unnamed: 0,Unnamed: 0.1,index,line-num,tokens-masked,premise_y,hypothesis_y,mask-filled,flip-class,weights,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff,model_wrong
28,A3CE0SWITZK3UD,539.0,I think that doing both of them will be more effective.,original,872.0,that's the biggest killer there is i think they should do both of them,entailment,539,539,1345,872,original,that's the biggest killer there is i think they should do both of them,I think that doing both of them will be more effective.,I think that doing both of them will be more effective.,Certain-Same,0.75,neutral,neutral,0.54,0.54,0.54,False,0.0,True
48,AV22FQTJNBUZT,683.0,They were more than willing to take on the case.,original,966.0,"One example of a case we recently handled was over in Springfield, Alexander said. ",neutral,683,683,18493,966,original,"One example of a case we recently handled was over in Springfield, Alexander said. ",They were more than willing to take on the case.,They were more than willing to take on the case.,Certain-Same,0.25,contradiction,contradiction,0.82,0.82,0.82,False,0.0,True
52,A1PBFDQR599N3K,703.0,Grant award letters can be distributed in more than one way.,original,970.0,This initiative permits LSC to distribute grant award letters electronically from a secure website.,contradiction,703,703,6563,970,original,This initiative permits LSC to distribute grant award letters electronically from a secure website.,Grant award letters can be distributed in more than one way. ,Grant award letters can be distributed in more than one way. ,Certain-Same,0.75,entailment,entailment,0.96,0.96,0.96,False,0.0,True
65,A2LR8E4O0FY66O,299.0,I suppose he forgot that American girls are more mature and intellectual.,original,1216.0,"I guess he forgot 211 American girls are older for their age than English ones, and take more interest in scientific subjects.",contradiction,299,299,44262,1216,original,"I guess he forgot 211 American girls are older for their age than English ones, and take more interest in scientific subjects.",I suppose he forgot that American girls are more mature and intellectual.,I suppose he forgot that American girls are more mature and intellectual.,Certain-Same,0.25,entailment,entailment,0.85,0.85,0.85,False,0.0,True
68,A1ZT30BGR3266K,427.0,She was not particularly partial to the idea of a divorce.,original,1315.0,"I've been needing a divorce for a year, she added.",neutral,427,427,5232,1315,original,"I've been needing a divorce for a year, she added.",She was not particularly partial to the idea of a divorce. ,She was not particularly partial to the idea of a divorce. ,Certain-Same,0.75,contradiction,contradiction,0.95,0.95,0.95,False,0.0,True
90,A2PDEHYI2M81EC,651.0,There is never gonna be full equality for everyone when it comes to the institutional pie.,original,1452.0,"This means, potentially, an even bigger slice of institutional pie for someone else---one of you, to swallow.",entailment,651,651,45441,1452,original,"This means, potentially, an even bigger slice of institutional pie for someone else---one of you, to swallow.",There is never gonna be full equality for everyone when it comes to the institutional pie.,There is never gonna be full equality for everyone when it comes to the institutional pie.,Certain-Same,0.25,neutral,neutral,0.89,0.89,0.89,False,0.0,True
98,A2XYDJS33I2341,35.0,Even a fire could not have completely destroyed a will as thick as that.,original,1563.0,There was therefore no means of destroying a thick document such as a will.,entailment,35,35,43611,1563,original,There was therefore no means of destroying a thick document such as a will. ,Even a fire could not have completely destroyed a will as thick as that.,Even a fire could not have completely destroyed a will as thick as that.,Certain-Same,0.25,neutral,neutral,0.96,0.96,0.96,False,0.0,True
108,AYZX9T7RBX3ZP,303.0,"If there is power, why are the lights not turning on.",original,1747.0,"If there's no power, what are those lights?  ""Witch lights, they told us,"" the man explained.",neutral,303,303,11107,1747,original,"If there's no power, what are those lights?  ""Witch lights, they told us,"" the man explained.","If there is power, why are the lights not turning on.","If there is power, why are the lights not turning on.",Certain-Same,0.25,contradiction,contradiction,0.99,0.99,0.99,False,0.0,True
149,A1PZIN8H1VI6SY,415.0,Things got better once they stopped pressuring him so much.,original,2334.0,i think also because they done took some of the pressure off of him,entailment,415,415,2059,2334,original,i think also because they done took some of the pressure off of him,Things got better once they stopped pressuring him so much.,Things got better once they stopped pressuring him so much.,Certain-Same,0.75,neutral,neutral,0.83,0.83,0.83,False,0.0,True
153,A1ZT30BGR3266K,443.0,A newspaper in the US usually has less than half their coverage in the service area because of cable TV.,original,2351.0,A typical newspaper in the U.S. has less than 50 percent coverage in its service area.,entailment,443,443,919,2351,original,A typical newspaper in the U.S. has less than 50 percent coverage in its service area.,A newspaper in the US usually has less than half their coverage in the service area because of cable TV.,A newspaper in the US usually has less than half their coverage in the service area because of cable TV.,Certain-Same,0.75,neutral,neutral,1.0,1.0,1.0,False,0.0,True
