,Unnamed: 0,line-num,pred-model,fill-model,tokens-masked,prepend-model,sampling-strategy,premise,hypothesis,mask-filled,token_changes,fill_prob,depth,Word2Vec-Score,Bert-Score,gold-label,prepend-label,targeted-label,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff,flip-class
17589,17797,33848,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Thirty percent cite, among other reasons, his support for education.",Forty percent cite that among other reasons his support for education.,Thirty percent cite that among other reasons his support for education.,Thirty percent,11.53%,1,0.9984276172645674,0.9997782111167908,entailment,entailment,contradiction,contradiction,entailment,0.91,0.0,0.99,True,0.91,Certain-Flip
22542,22803,43706,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,This might extend the total elapsed time by about four months.,More than four months is probably going to be needed in order to finish this. ,Less than four months is probably going to be needed in order to finish this.,Less,10.4%,2,0.9983186378963668,0.9981162548065186,contradiction,contradiction,entailment,entailment,contradiction,0.87,0.09,0.8,True,0.78,Certain-Flip
26069,26378,20733,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"2For a description of prototyping and the spiral model, see Roger S. Pressman, Software  A Practitioner's Approach, 3rd ed.","For a description of prototyping and the spiral model, see Roger S. Pressman, Software A Practitioner's Approach, 3rd ed.","For a description of prototyping and the spiral model, see Roger S. Pressman, Software A Practitioner's Approach, 4th ed.","Approach, 4th",9.89%,5,0.9995524014253108,0.9970647096633912,contradiction,contradiction,neutral,entailment,contradiction,0.99,0.01,0.84,True,0.98,Certain-Flip
9269,9386,95421,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Beaune's best-known building, the H??tel-Dieu, is a beautifully preserved 15th-century hospital with spectacular colored roof tiles.",The most famous building in Beaune was built in the 10th century.,The most famous building in Beaune was built in the 15th century.,15th,10.81%,1,0.9985358884723032,0.9954755306243896,entailment,entailment,neutral,contradiction,entailment,1.0,0.0,0.98,True,1.0,Certain-Flip
2795,2828,27329,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"In addition to attacking the story's source, right-wingers attack its purveyors--Broder and Waas.","The far right aren't just going after the originators, they're also going after the publishers.","The far left aren't just going after the originators, they're also going after the publishers.",left,10.29%,3,0.9976792883028106,0.9931384921073914,contradiction,contradiction,entailment,entailment,contradiction,0.97,0.12,0.8,True,0.85,Certain-Flip
26071,26380,20733,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"2For a description of prototyping and the spiral model, see Roger S. Pressman, Software  A Practitioner's Approach, 3rd ed.","For a description of prototyping and the spiral model, see Roger S. Pressman, Software A Practitioner's Approach, 3rd ed.","For a description of prototyping and the spiral model, see Roger S. Pressman, Software A Practitioner's Approach, 1st ed.",1st ed.,10.16%,3,0.999442562979834,0.9952985048294068,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.0,0.99,True,0.99,Certain-Flip
4958,5017,5377,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"Now just stand aside, and see how easily the mere male deals with the situation."" He pressed the bell.",Don't get in the way of the male dealing with it.,Don't get in the way of the female dealing with it.,the female,10.04%,3,0.998394068528118,0.9913544654846193,contradiction,contradiction,entailment,entailment,contradiction,0.95,0.04,0.93,True,0.91,Certain-Flip
25816,26121,56982,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,do you know who the guy was that was playing the uh the the wagon driver,Do you know who played the driver of the red wagon?,Do you know who played the driver of the wagon?,wagon?,11.25%,1,0.9908218608633744,0.9906021952629088,neutral,neutral,contradiction,neutral,entailment,1.0,0.01,0.98,True,0.99,Certain-Flip
4099,4150,88315,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,"For six years, Bill Clinton has stayed alive by clinging to those entitlements.",Bill Clinton has stayed alive for six years by clinging to those entitlements.,Bill Clinton has stayed alive for 20 years by clinging to those entitlements.,20 years by,10.2%,1,0.9901926519942116,0.9909846186637878,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.0,0.99,True,0.99,Certain-Flip
10462,10594,85770,RoBERTa-MNLI,fine-tuned,content-words,gold-label,beam,so what do you think about a year or two of public service,What is your opinion on a few years of public service?,What is your opinion on a few months of public service?,months of,10.79%,2,0.9955050155944264,0.9908226728439332,contradiction,contradiction,entailment,entailment,contradiction,0.99,0.05,0.93,True,0.94,Certain-Flip
