,premID,premise,mask-type,hypoID,hypothesis,response,Worker
69,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,content-words,928.0,The amount of work that can be turned over in that way is quite large.,entailment,A2EI075XZT9Y2S
69,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,content-words,934.0,No amount of work that can be turned over in this way is quite large.,contradiction,A2EI075XZT9Y2S
69,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,content-words,935.0,The amount of work that can be turned over in other ways is quite large.,neutral,A2EI075XZT9Y2S
69,209.0,(Mitchell 1999) The amount of work that can be turned over in this way is quite large.,content-words,938.0,The amount of money that can be turned over in this way is quite large.,neutral,A2EI075XZT9Y2S
357,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,gradient,1770.0,The Maroon people tenderized and cooked their pork before they developed the jerk marinating technique.,neutral,A30HUZHJBOX1LK
357,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,gradient,1774.0,The Maroon people tenderized and cooked their pork before developing the jerk marinating technique.,entailment,A30HUZHJBOX1LK
357,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,gradient,1775.0,The Maroon people didn't develop and cooked their pork with the jerk marinating technique.,contradiction,A30HUZHJBOX1LK
357,607.0,The jerk marinating technique was first developed by the Maroon people as a method of tenderizing and cooking their pork.,gradient,1780.0,The Maroon people tenderized and cooked their beef with the jerk marinating technique.,neutral,A30HUZHJBOX1LK
135,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,content-words,5283.0,"Most mail may be viewed as community newspapers, but not as shoppers.",contradiction,A30HUZHJBOX1LK
135,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,content-words,5284.0,Most mail may be viewed as community newspapers or shoppers and not Periodicals.,contradiction,A30HUZHJBOX1LK
135,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,content-words,5285.0,Most mail may be viewed as community newspapers or.,neutral,A30HUZHJBOX1LK
135,1016.0,It also includes some mail that might be viewed as community newspapers or shoppers and some that could be viewed as Periodicals.,content-words,5287.0,Most mail cannot be viewed as community newspapers or shoppers.,neutral,A30HUZHJBOX1LK
27,1128.0,It would ease his own frustration and show strength in a time of weakness.,content-words,5790.0,He was currently engaging in a battle for happiness and glory.,neutral,A2C84POENS2UNY
27,1128.0,It would ease his own frustration and show strength in a time of weakness.,content-words,5792.0,He was currently engaging in a time of happiness and frustration.,neutral,A2C84POENS2UNY
27,1128.0,It would ease his own frustration and show strength in a time of weakness.,content-words,5793.0,He was currently engaging in a fight for happiness and glory.,contradiction,A2C84POENS2UNY
