,Unnamed: 0,line-num,pred-model,fill-model,premise,hypothesis,mask-filled,token_changes,fill_prob,n_gram,Word2Vec-Score,Bert-Score,gold-label,token-similarity,orig-label,new-label,orig-label-prob,same-label-prob,new-label-prob,label-changed,same-label-prob-diff
1,1,257324,mnli-roberta,BartLargeMNLI,"Why, it even runs pages entitled Solutions.",It has no pages called Solutions.,It has an entire section called Solutions.,"('no pages', 'an entire section')",10.09%,2,0.9125443172844246,0.9174829721450806,2,0.5002690628876889,contradiction,entailment,1.0,0.0,0.96,True,1.0
2,2,257324,mnli-roberta,BartLargeMNLI,"Why, it even runs pages entitled Solutions.",It has no pages called Solutions., Solutions. Solutions.  It has no clue what it's doing.,"('pages called', "" Solutions. clue what it's doing."")",9.91%,2,0.9368207725430072,0.8766605854034424,2,0.5592168439823076,contradiction,neutral,1.0,0.28,0.7,True,0.72
3,3,257324,mnli-roberta,BartLargeMNLI,"Why, it even runs pages entitled Solutions.",It has no pages called Solutions.,It even runs pages entitled Solutions.,"('has no pages', 'even runs pages entitled')",9.71%,3,0.9312208774384088,0.9291449189186096,2,0.8050246547201122,contradiction,entailment,1.0,0.0,0.99,True,1.0
4,4,257324,mnli-roberta,BartLargeMNLI,"Why, it even runs pages entitled Solutions.",It has no pages called Solutions.,It has a page called Solutions.,"('no pages called', 'a page called')",10.18%,3,0.9588370075769008,0.9438877105712892,2,0.8205558659952803,contradiction,entailment,1.0,0.01,0.99,True,0.99
6,6,257324,mnli-roberta,BartLargeMNLI,"Why, it even runs pages entitled Solutions.",It has no pages called Solutions.,It has no pages that are not Solutions.,"('called', 'that are not')",9.54%,1,0.9653457411676152,0.918405830860138,2,0.5159819358571286,contradiction,neutral,1.0,0.02,0.72,True,0.98
7,7,257324,mnli-roberta,BartLargeMNLI,"Why, it even runs pages entitled Solutions.",It has no pages called Solutions., Solutions. Solutions.  It has no idea what it's doing.,"('pages called', "" Solutions. idea what it's doing."")",10.55%,2,0.9381741364471092,0.8768259882926941,2,0.5638496597850939,contradiction,neutral,1.0,0.06,0.91,True,0.94
9,9,257324,mnli-roberta,BartLargeMNLI,"Why, it even runs pages entitled Solutions.",It has no pages called Solutions.,It has a whole section called Solutions.,"('no pages called', 'a whole section called')",9.77%,3,0.9229673747835401,0.9189221262931824,2,0.7185118394927318,contradiction,entailment,1.0,0.0,0.94,True,1.0
23,23,309433,mnli-roberta,BartLargeMNLI,"It's a service to help you stay out of the courtroom, he said.",Helping you to avoid the courtroom is a service.,Helping you to avoid the courtroom is not a service.,"('courtroom is', 'courtroom is not')",9.66%,2,0.9963515216239436,0.9846173524856568,0,0.9371252341645006,entailment,contradiction,0.99,0.0,1.0,True,0.99
29,29,309433,mnli-roberta,BartLargeMNLI,"It's a service to help you stay out of the courtroom, he said.",Helping you to avoid the courtroom is a service.,Helping you to avoid the courtroom is a service to the public.,"('service.', 'to the service public.')",9.51%,2,0.9897520403780584,0.9715850353240968,0,0.8397802750272366,entailment,neutral,0.99,0.35,0.64,True,0.64
50,50,20842,mnli-roberta,BartLargeMNLI,The President's Energy Plan will improve visibility by reducing SO2 and NOx emissions.,Unfortunately the plan will cost a lot of the tax payers' money., Unfortunately the plan will be a waste of time and a waste of the tax payers' money. ,"('cost a lot', ' be a waste of time and')",10.42%,3,0.9701090684946692,0.9424402117729188,1,0.7976621999947442,neutral,contradiction,0.99,0.09,0.9,True,0.9
54,54,20842,mnli-roberta,BartLargeMNLI,The President's Energy Plan will improve visibility by reducing SO2 and NOx emissions.,Unfortunately the plan will cost a lot of the tax payers' money., Unfortunately the plan will result in a waste of the tax payers' money. ,"('cost a lot', ' result in a waste')",10.11%,3,0.9808578980039158,0.956237256526947,1,0.7698609549609906,neutral,contradiction,0.98,0.33,0.67,True,0.6499999999999999
111,111,365469,mnli-roberta,BartLargeMNLI,"We discussed six types of case study that differ considerably in their requirements for site selection, data collection, and analysis, among other things.",There is a clear similarity between all types of case studies.,There is not a great deal of similarity between all types of case studies.,"('a clear', 'not a great deal of')",10.06%,2,0.9834550285456294,0.9602474570274352,2,0.7919717718756053,contradiction,entailment,1.0,0.0,0.5,True,1.0
